MVMinusBV,Portfolio_Name,Issuer_Name,Asset_Name,Position_ID,Commitment,Outstanding,BookValue,BVPrice,MarketValue,MarkPrice_MarkPrice,Asset_AssetDetail_Type,MVParity,CurrencyType_Identifier,Quantity,Asset_Primary IDAssetID_Name
"6.42330633127131e-12","PennantPark Credit Opportunities Fund IV Aggregator, LP","EvAl Home Care Solutions Intermediate, L.L.C.","First Lien - Revolver - Rev","1376102","308200","0","0","100","6.42330633127131e-12","100","4","6.42330633127131e-14","USD","308200","LX233421"
"32788.7379650087","PennantPark Credit Opportunities Fund IV Aggregator, LP","EvAl Home Care Solutions Intermediate, L.L.C.","First Lien - Term Loan - Initial","1376121","2699741.6340223","2699741.634","2666952.89603499","98.7854860794158","2699741.634","100","4","26997.41634","USD","2699741.6340223","LX233420"
"-10228.9149771084","PennantPark Credit Opportunities Fund IV Aggregator, LP","EvAl Home Health Solutions, L.L.C.","Preferred Equity","1376111","169800.004577108","169800.004577108","169800.004577108","1.65999999","159571.0896","1.56","138","159571.0896","USD","102289.16","2010"
"-1827.40727999998","PennantPark Credit Opportunities Fund IV Aggregator, LP","EXPRESS WASH ACQUISITION COMPANY, LLC","First Lien - Revolver - Revolver","1378968","304567.88","0","0","100","-1827.40727999998","99.4","4","-18.2740727999998","USD","304567.88","LX262299"
"17728.5166940345","PennantPark Credit Opportunities Fund IV Aggregator, LP","EXPRESS WASH ACQUISITION COMPANY, LLC","First Lien - Term Loan - TL","1378962","5000000","5000000","4952271.48330597","99.0454296661193","4970000","99.4","4","49700","USD","5000000","LX262298"
"-223327.608713891","PennantPark Credit Opportunities Fund IV Aggregator, LP","EyeCare Partners","2nd Out Term Loan","1377870","6325403.20999821","6325403.21","5188769.12856428","82.0306462102035","4965441.51985038","78.5","4","49654.4151985038","USD","6325403.20999821","LX230234"
"-2934.90712145585","PennantPark Credit Opportunities Fund IV Aggregator, LP","Five Star Buyer, Inc. (Track Branson OpCo, LLC, The)","First Lien - DDTL B","1373787","146745.356072792","146745.3546","146745.3546","100","143810.447478544","98","4","1438.10447478544","USD","146745.356072792","LX207715"
"-5518.14669999999","PennantPark Credit Opportunities Fund IV Aggregator, LP","Five Star Buyer, Inc. (Track Branson OpCo, LLC, The)","First Lien - Revolver","1373794","275907.335","0","0","100","-5518.14669999999","98","4","-55.1814669999999","USD","275907.335","LX207716"
"-29163.4124620468","PennantPark Credit Opportunities Fund IV Aggregator, LP","Five Star Buyer, Inc. (Track Branson OpCo, LLC, The)","Initial Term Loan A","1373791","3098566.06997166","3098566.0699","3065758.16096261","98.9411905960202","3036594.74850057","98","4","30365.9474850057","USD","3098566.06997166","LX207714"
"-359148.858193","PennantPark Credit Opportunities Fund IV Aggregator, LP","Five Star Parent Holdings, LLC ","Common Equity","1373783","488571.43","488571.43","488571.43","1","129422.571807","0.2649","138","129422.571807","USD","488571.43","1724"
